stim,correct_key,set_size,block,img_folder,condition,period_sz,iteration,num_actions
9,1,12,3,4,13,12,8,3
7,2,12,3,4,13,12,7,3
6,0,12,3,4,13,12,7,3
6,0,12,3,4,13,12,8,3
10,2,12,3,4,13,12,7,3
4,2,12,3,4,13,12,8,3
3,0,12,3,4,13,12,7,3
7,2,12,3,4,13,12,8,3
2,0,12,3,4,13,12,8,3
1,2,12,3,4,13,12,8,3
12,1,12,3,4,13,12,8,3
11,1,12,3,4,13,12,8,3
8,1,12,3,4,13,12,8,3
10,2,12,3,4,13,12,8,3
3,0,12,3,4,13,12,8,3
5,0,12,3,4,13,12,8,3
1,1,12,4,10,13,12,1,3
2,0,12,4,10,13,12,1,3
3,2,12,4,10,13,12,1,3
4,1,12,4,10,13,12,1,3
5,2,12,4,10,13,12,1,3
6,1,12,4,10,13,12,1,3
7,1,12,4,10,13,12,1,3
8,0,12,4,10,13,12,1,3
9,2,12,4,10,13,12,1,3
10,0,12,4,10,13,12,1,3
11,2,12,4,10,13,12,1,3
12,0,12,4,10,13,12,1,3
7,1,12,4,10,13,12,2,3
5,2,12,4,10,13,12,2,3
2,0,12,4,10,13,12,2,3
12,0,12,4,10,13,12,2,3
3,2,12,4,10,13,12,2,3
6,1,12,4,10,13,12,2,3
4,1,12,4,10,13,12,2,3
1,1,12,4,10,13,12,2,3
10,0,12,4,10,13,12,2,3
1,1,12,4,10,13,12,3,3
8,0,12,4,10,13,12,2,3
3,2,12,4,10,13,12,3,3
9,2,12,4,10,13,12,2,3
8,0,12,4,10,13,12,3,3
4,1,12,4,10,13,12,3,3
11,2,12,4,10,13,12,2,3
11,2,12,4,10,13,12,3,3
9,2,12,4,10,13,12,3,3
10,0,12,4,10,13,12,3,3
5,2,12,4,10,13,12,3,3
7,1,12,4,10,13,12,3,3
2,0,12,4,10,13,12,3,3
6,1,12,4,10,13,12,3,3
12,0,12,4,10,13,12,3,3
10,0,12,4,10,13,12,4,3
7,1,12,4,10,13,12,4,3
6,1,12,4,10,13,12,4,3
11,2,12,4,10,13,12,4,3
4,1,12,4,10,13,12,4,3
5,2,12,4,10,13,12,4,3
1,1,12,4,10,13,12,4,3
12,0,12,4,10,13,12,4,3
3,2,12,4,10,13,12,4,3
9,2,12,4,10,13,12,4,3
2,0,12,4,10,13,12,4,3
8,0,12,4,10,13,12,4,3
1,1,12,4,10,13,12,5,3
2,0,12,4,10,13,12,5,3
3,2,12,4,10,13,12,5,3
4,1,12,4,10,13,12,5,3
5,2,12,4,10,13,12,5,3
6,1,12,4,10,13,12,5,3
7,1,12,4,10,13,12,5,3
8,0,12,4,10,13,12,5,3
9,2,12,4,10,13,12,5,3
10,0,12,4,10,13,12,5,3
11,2,12,4,10,13,12,5,3
12,0,12,4,10,13,12,5,3
2,0,12,4,10,13,12,6,3
1,1,12,4,10,13,12,6,3
10,0,12,4,10,13,12,6,3
12,0,12,4,10,13,12,6,3
8,0,12,4,10,13,12,6,3
6,1,12,4,10,13,12,6,3
5,2,12,4,10,13,12,6,3
3,2,12,4,10,13,12,6,3
11,2,12,4,10,13,12,6,3
4,1,12,4,10,13,12,6,3
7,1,12,4,10,13,12,6,3
9,2,12,4,10,13,12,6,3
6,1,12,4,10,13,12,7,3
7,1,12,4,10,13,12,7,3
11,2,12,4,10,13,12,7,3
3,2,12,4,10,13,12,7,3
8,0,12,4,10,13,12,7,3
1,1,12,4,10,13,12,7,3
4,1,12,4,10,13,12,7,3
2,0,12,4,10,13,12,7,3
4,1,12,4,10,13,12,8,3
10,0,12,4,10,13,12,7,3
9,2,12,4,10,13,12,7,3
12,0,12,4,10,13,12,7,3
12,0,12,4,10,13,12,8,3
2,0,12,4,10,13,12,8,3
5,2,12,4,10,13,12,7,3
7,1,12,4,10,13,12,8,3
3,2,12,4,10,13,12,8,3
9,2,12,4,10,13,12,8,3
6,1,12,4,10,13,12,8,3
10,0,12,4,10,13,12,8,3
1,1,12,4,10,13,12,8,3
8,0,12,4,10,13,12,8,3
5,2,12,4,10,13,12,8,3
11,2,12,4,10,13,12,8,3
1,2,12,5,6,2,2,1,3
2,1,12,5,6,2,2,1,3
1,2,12,5,6,2,2,2,3
2,1,12,5,6,2,2,2,3
1,2,12,5,6,2,2,3,3
2,1,12,5,6,2,2,3,3
1,2,12,5,6,2,2,4,3
2,1,12,5,6,2,2,4,3
3,2,12,5,6,2,2,1,3
4,1,12,5,6,2,2,1,3
3,2,12,5,6,2,2,2,3
4,1,12,5,6,2,2,2,3
3,2,12,5,6,2,2,3,3
4,1,12,5,6,2,2,3,3
3,2,12,5,6,2,2,4,3
4,1,12,5,6,2,2,4,3
5,1,12,5,6,2,2,1,3
6,0,12,5,6,2,2,1,3
5,1,12,5,6,2,2,2,3
6,0,12,5,6,2,2,2,3
5,1,12,5,6,2,2,3,3
6,0,12,5,6,2,2,3,3
5,1,12,5,6,2,2,4,3
6,0,12,5,6,2,2,4,3
7,2,12,5,6,2,2,1,3
8,0,12,5,6,2,2,1,3
7,2,12,5,6,2,2,2,3
8,0,12,5,6,2,2,2,3
7,2,12,5,6,2,2,3,3
8,0,12,5,6,2,2,3,3
7,2,12,5,6,2,2,4,3
8,0,12,5,6,2,2,4,3
9,1,12,5,6,2,2,1,3
10,0,12,5,6,2,2,1,3
9,1,12,5,6,2,2,2,3
10,0,12,5,6,2,2,2,3
9,1,12,5,6,2,2,3,3
10,0,12,5,6,2,2,3,3
9,1,12,5,6,2,2,4,3
10,0,12,5,6,2,2,4,3
11,2,12,5,6,2,2,1,3
12,0,12,5,6,2,2,1,3
11,2,12,5,6,2,2,2,3
12,0,12,5,6,2,2,2,3
11,2,12,5,6,2,2,3,3
12,0,12,5,6,2,2,3,3
11,2,12,5,6,2,2,4,3
12,0,12,5,6,2,2,4,3
1,2,12,5,6,2,12,5,3
2,1,12,5,6,2,12,5,3
3,2,12,5,6,2,12,5,3
4,1,12,5,6,2,12,5,3
5,1,12,5,6,2,12,5,3
6,0,12,5,6,2,12,5,3
7,2,12,5,6,2,12,5,3
8,0,12,5,6,2,12,5,3
9,1,12,5,6,2,12,5,3
10,0,12,5,6,2,12,5,3
11,2,12,5,6,2,12,5,3
12,0,12,5,6,2,12,5,3
6,0,12,5,6,2,12,6,3
11,2,12,5,6,2,12,6,3
7,2,12,5,6,2,12,6,3
2,1,12,5,6,2,12,6,3
8,0,12,5,6,2,12,6,3
1,2,12,5,6,2,12,6,3
9,1,12,5,6,2,12,6,3
4,1,12,5,6,2,12,6,3
10,0,12,5,6,2,12,6,3
3,2,12,5,6,2,12,6,3
5,1,12,5,6,2,12,6,3
4,1,12,5,6,2,12,7,3
12,0,12,5,6,2,12,6,3
10,0,12,5,6,2,12,7,3
12,0,12,5,6,2,12,7,3
6,0,12,5,6,2,12,7,3
8,0,12,5,6,2,12,7,3
3,2,12,5,6,2,12,7,3
9,1,12,5,6,2,12,7,3
11,2,12,5,6,2,12,7,3
5,1,12,5,6,2,12,7,3
6,0,12,5,6,2,12,8,3
7,2,12,5,6,2,12,7,3
7,2,12,5,6,2,12,8,3
2,1,12,5,6,2,12,7,3
1,2,12,5,6,2,12,7,3
11,2,12,5,6,2,12,8,3
2,1,12,5,6,2,12,8,3
3,2,12,5,6,2,12,8,3
12,0,12,5,6,2,12,8,3
8,0,12,5,6,2,12,8,3
1,2,12,5,6,2,12,8,3
4,1,12,5,6,2,12,8,3
5,1,12,5,6,2,12,8,3
9,1,12,5,6,2,12,8,3
10,0,12,5,6,2,12,8,3
1,2,12,6,8,3,3,1,3
2,1,12,6,8,3,3,1,3
3,0,12,6,8,3,3,1,3
1,2,12,6,8,3,3,2,3
2,1,12,6,8,3,3,2,3
3,0,12,6,8,3,3,2,3
1,2,12,6,8,3,3,3,3
2,1,12,6,8,3,3,3,3
3,0,12,6,8,3,3,3,3
1,2,12,6,8,3,3,4,3
2,1,12,6,8,3,3,4,3
3,0,12,6,8,3,3,4,3
4,0,12,6,8,3,3,1,3
5,2,12,6,8,3,3,1,3
6,2,12,6,8,3,3,1,3
4,0,12,6,8,3,3,2,3
5,2,12,6,8,3,3,2,3
6,2,12,6,8,3,3,2,3
4,0,12,6,8,3,3,3,3
5,2,12,6,8,3,3,3,3
6,2,12,6,8,3,3,3,3
4,0,12,6,8,3,3,4,3
5,2,12,6,8,3,3,4,3
6,2,12,6,8,3,3,4,3
7,0,12,6,8,3,3,1,3
8,1,12,6,8,3,3,1,3
9,1,12,6,8,3,3,1,3
7,0,12,6,8,3,3,2,3
8,1,12,6,8,3,3,2,3
9,1,12,6,8,3,3,2,3
7,0,12,6,8,3,3,3,3
8,1,12,6,8,3,3,3,3
9,1,12,6,8,3,3,3,3
7,0,12,6,8,3,3,4,3
8,1,12,6,8,3,3,4,3
9,1,12,6,8,3,3,4,3
10,0,12,6,8,3,3,1,3
11,2,12,6,8,3,3,1,3
12,1,12,6,8,3,3,1,3
10,0,12,6,8,3,3,2,3
11,2,12,6,8,3,3,2,3
12,1,12,6,8,3,3,2,3
10,0,12,6,8,3,3,3,3
11,2,12,6,8,3,3,3,3
12,1,12,6,8,3,3,3,3
10,0,12,6,8,3,3,4,3
11,2,12,6,8,3,3,4,3
12,1,12,6,8,3,3,4,3
1,2,12,6,8,3,12,5,3
2,1,12,6,8,3,12,5,3
3,0,12,6,8,3,12,5,3
4,0,12,6,8,3,12,5,3
5,2,12,6,8,3,12,5,3
6,2,12,6,8,3,12,5,3
7,0,12,6,8,3,12,5,3
8,1,12,6,8,3,12,5,3
9,1,12,6,8,3,12,5,3
10,0,12,6,8,3,12,5,3
11,2,12,6,8,3,12,5,3
12,1,12,6,8,3,12,5,3
11,2,12,6,8,3,12,6,3
7,0,12,6,8,3,12,6,3
3,0,12,6,8,3,12,6,3
5,2,12,6,8,3,12,6,3
8,1,12,6,8,3,12,6,3
1,2,12,6,8,3,12,6,3
9,1,12,6,8,3,12,6,3
6,2,12,6,8,3,12,6,3
2,1,12,6,8,3,12,6,3
4,0,12,6,8,3,12,6,3
10,0,12,6,8,3,12,6,3
9,1,12,6,8,3,12,7,3
8,1,12,6,8,3,12,7,3
4,0,12,6,8,3,12,7,3
12,1,12,6,8,3,12,6,3
12,1,12,6,8,3,12,7,3
11,2,12,6,8,3,12,7,3
6,2,12,6,8,3,12,7,3
1,2,12,6,8,3,12,7,3
11,2,12,6,8,3,12,8,3
5,2,12,6,8,3,12,7,3
7,0,12,6,8,3,12,7,3
10,0,12,6,8,3,12,7,3
3,0,12,6,8,3,12,7,3
1,2,12,6,8,3,12,8,3
5,2,12,6,8,3,12,8,3
2,1,12,6,8,3,12,7,3
3,0,12,6,8,3,12,8,3
10,0,12,6,8,3,12,8,3
2,1,12,6,8,3,12,8,3
12,1,12,6,8,3,12,8,3
6,2,12,6,8,3,12,8,3
7,0,12,6,8,3,12,8,3
9,1,12,6,8,3,12,8,3
4,0,12,6,8,3,12,8,3
8,1,12,6,8,3,12,8,3
1,0,12,7,2,2,2,1,4
2,0,12,7,2,2,2,1,4
1,0,12,7,2,2,2,2,4
2,0,12,7,2,2,2,2,4
1,0,12,7,2,2,2,3,4
2,0,12,7,2,2,2,3,4
1,0,12,7,2,2,2,4,4
2,0,12,7,2,2,2,4,4
1,0,12,7,2,2,2,5,4
2,0,12,7,2,2,2,5,4
3,1,12,7,2,2,2,1,4
4,3,12,7,2,2,2,1,4
3,1,12,7,2,2,2,2,4
4,3,12,7,2,2,2,2,4
3,1,12,7,2,2,2,3,4
4,3,12,7,2,2,2,3,4
3,1,12,7,2,2,2,4,4
4,3,12,7,2,2,2,4,4
3,1,12,7,2,2,2,5,4
4,3,12,7,2,2,2,5,4
5,1,12,7,2,2,2,1,4
6,3,12,7,2,2,2,1,4
5,1,12,7,2,2,2,2,4
6,3,12,7,2,2,2,2,4
5,1,12,7,2,2,2,3,4
6,3,12,7,2,2,2,3,4
5,1,12,7,2,2,2,4,4
6,3,12,7,2,2,2,4,4
5,1,12,7,2,2,2,5,4
6,3,12,7,2,2,2,5,4
7,0,12,7,2,2,2,1,4
8,2,12,7,2,2,2,1,4
7,0,12,7,2,2,2,2,4
8,2,12,7,2,2,2,2,4
7,0,12,7,2,2,2,3,4
8,2,12,7,2,2,2,3,4
7,0,12,7,2,2,2,4,4
8,2,12,7,2,2,2,4,4
7,0,12,7,2,2,2,5,4
8,2,12,7,2,2,2,5,4
9,1,12,7,2,2,2,1,4
10,2,12,7,2,2,2,1,4
9,1,12,7,2,2,2,2,4
10,2,12,7,2,2,2,2,4
9,1,12,7,2,2,2,3,4
10,2,12,7,2,2,2,3,4
9,1,12,7,2,2,2,4,4
10,2,12,7,2,2,2,4,4
9,1,12,7,2,2,2,5,4
10,2,12,7,2,2,2,5,4
11,2,12,7,2,2,2,1,4
12,3,12,7,2,2,2,1,4
11,2,12,7,2,2,2,2,4
12,3,12,7,2,2,2,2,4
11,2,12,7,2,2,2,3,4
12,3,12,7,2,2,2,3,4
11,2,12,7,2,2,2,4,4
12,3,12,7,2,2,2,4,4
11,2,12,7,2,2,2,5,4
12,3,12,7,2,2,2,5,4
1,0,12,7,2,2,12,6,4
2,0,12,7,2,2,12,6,4
3,1,12,7,2,2,12,6,4
4,3,12,7,2,2,12,6,4
5,1,12,7,2,2,12,6,4
6,3,12,7,2,2,12,6,4
7,0,12,7,2,2,12,6,4
8,2,12,7,2,2,12,6,4
9,1,12,7,2,2,12,6,4
10,2,12,7,2,2,12,6,4
11,2,12,7,2,2,12,6,4
12,3,12,7,2,2,12,6,4
12,3,12,7,2,2,12,7,4
10,2,12,7,2,2,12,7,4
1,0,12,7,2,2,12,7,4
9,1,12,7,2,2,12,7,4
11,2,12,7,2,2,12,7,4
6,3,12,7,2,2,12,7,4
4,3,12,7,2,2,12,7,4
7,0,12,7,2,2,12,7,4
5,1,12,7,2,2,12,7,4
2,0,12,7,2,2,12,7,4
12,3,12,7,2,2,12,8,4
3,1,12,7,2,2,12,7,4
8,2,12,7,2,2,12,7,4
5,1,12,7,2,2,12,8,4
8,2,12,7,2,2,12,8,4
7,0,12,7,2,2,12,8,4
6,3,12,7,2,2,12,8,4
3,1,12,7,2,2,12,8,4
2,0,12,7,2,2,12,8,4
10,2,12,7,2,2,12,8,4
3,1,12,7,2,2,12,9,4
1,0,12,7,2,2,12,8,4
9,1,12,7,2,2,12,8,4
4,3,12,7,2,2,12,8,4
11,2,12,7,2,2,12,8,4
9,1,12,7,2,2,12,9,4
10,2,12,7,2,2,12,9,4
7,0,12,7,2,2,12,9,4
11,2,12,7,2,2,12,9,4
8,2,12,7,2,2,12,9,4
1,0,12,7,2,2,12,9,4
12,3,12,7,2,2,12,9,4
6,3,12,7,2,2,12,9,4
4,3,12,7,2,2,12,9,4
6,3,12,7,2,2,12,10,4
5,1,12,7,2,2,12,9,4
2,0,12,7,2,2,12,9,4
2,0,12,7,2,2,12,10,4
4,3,12,7,2,2,12,10,4
9,1,12,7,2,2,12,10,4
8,2,12,7,2,2,12,10,4
11,2,12,7,2,2,12,10,4
3,1,12,7,2,2,12,10,4
5,1,12,7,2,2,12,10,4
10,2,12,7,2,2,12,10,4
1,0,12,7,2,2,12,10,4
7,0,12,7,2,2,12,10,4
12,3,12,7,2,2,12,10,4
1,3,12,8,3,13,12,1,4
2,0,12,8,3,13,12,1,4
3,0,12,8,3,13,12,1,4
4,1,12,8,3,13,12,1,4
5,2,12,8,3,13,12,1,4
6,3,12,8,3,13,12,1,4
7,2,12,8,3,13,12,1,4
8,1,12,8,3,13,12,1,4
9,0,12,8,3,13,12,1,4
10,1,12,8,3,13,12,1,4
11,2,12,8,3,13,12,1,4
12,3,12,8,3,13,12,1,4
6,3,12,8,3,13,12,2,4
10,1,12,8,3,13,12,2,4
2,0,12,8,3,13,12,2,4
7,2,12,8,3,13,12,2,4
12,3,12,8,3,13,12,2,4
8,1,12,8,3,13,12,2,4
11,2,12,8,3,13,12,2,4
1,3,12,8,3,13,12,2,4
5,2,12,8,3,13,12,2,4
4,1,12,8,3,13,12,2,4
9,0,12,8,3,13,12,2,4
3,0,12,8,3,13,12,2,4
10,1,12,8,3,13,12,3,4
3,0,12,8,3,13,12,3,4
2,0,12,8,3,13,12,3,4
4,1,12,8,3,13,12,3,4
8,1,12,8,3,13,12,3,4
12,3,12,8,3,13,12,3,4
7,2,12,8,3,13,12,3,4
9,0,12,8,3,13,12,3,4
6,3,12,8,3,13,12,3,4
6,3,12,8,3,13,12,4,4
11,2,12,8,3,13,12,3,4
5,2,12,8,3,13,12,3,4
1,3,12,8,3,13,12,3,4
11,2,12,8,3,13,12,4,4
9,0,12,8,3,13,12,4,4
1,3,12,8,3,13,12,4,4
8,1,12,8,3,13,12,4,4
10,1,12,8,3,13,12,4,4
9,0,12,8,3,13,12,5,4
3,0,12,8,3,13,12,4,4
7,2,12,8,3,13,12,4,4
2,0,12,8,3,13,12,4,4
12,3,12,8,3,13,12,4,4
4,1,12,8,3,13,12,4,4
4,1,12,8,3,13,12,5,4
7,2,12,8,3,13,12,5,4
8,1,12,8,3,13,12,5,4
3,0,12,8,3,13,12,5,4
12,3,12,8,3,13,12,5,4
5,2,12,8,3,13,12,4,4
6,3,12,8,3,13,12,5,4
5,2,12,8,3,13,12,5,4
10,1,12,8,3,13,12,5,4
11,2,12,8,3,13,12,5,4
1,3,12,8,3,13,12,5,4
2,0,12,8,3,13,12,5,4
1,3,12,8,3,13,12,6,4
2,0,12,8,3,13,12,6,4
3,0,12,8,3,13,12,6,4
4,1,12,8,3,13,12,6,4
5,2,12,8,3,13,12,6,4
6,3,12,8,3,13,12,6,4
7,2,12,8,3,13,12,6,4
8,1,12,8,3,13,12,6,4
9,0,12,8,3,13,12,6,4
10,1,12,8,3,13,12,6,4
11,2,12,8,3,13,12,6,4
12,3,12,8,3,13,12,6,4
2,0,12,8,3,13,12,7,4
1,3,12,8,3,13,12,7,4
6,3,12,8,3,13,12,7,4
12,3,12,8,3,13,12,7,4
10,1,12,8,3,13,12,7,4
